text,class_type
".@DanHenninger  WSJ: Nancy Pelosi had it right the first time when she did not want to go down the Impeachment path. Make it a voting issue. But no, the Left insisted on raising this to the gravity of a constitutional crisis &amp; Impeachment. The hearings suggested it’s not going...",human
"If you’re a small business owner or entrepreneur, be sure to set a reminder for 9:45AM EDT tomorrow so you can catch @AmberMac’s Instagram Live with Minister @Mary_Ng. They’ll take your questions about the supports available to you and your business during this uncertain time.",human
"Whether it’s help to pay the bills or keep people on the payroll, we’ve brought in new programs to get business owners and workers the support they need. Look at @Euro_Line, a family business in Oakville, as an example: They used the wage subsidy to rehire their entire team.",human
"Found this Iomega flash drive which based on the files I had on it I last used in 2005. The capacity is 64MB. Not GB. MB. Given the size of anything nowadays this is barely useful today, unless I need to carry around a couple of photos or a song or two https://t.co/apRkmKmGJm",human
"If you’ve lost your income as a result of COVID-19, the Canada Emergency Response Benefit will give you $2,000 a month for up to 4 months. If you’ve lost your job - whether you worked full time, on contract, or were self-employed - you qualify for the benefit.",human
"The United States has paid Iraq Billions of Dollars a year, for many years. That is on top of all else we have done for them. The people of Iraq don’t want to be dominated &amp; controlled by Iran, but ultimately, that is their choice. Over the last 15 years, Iran has gained more....",human
"To empower so many Indians, especially women has been one of the most satisfying efforts of our tenure. The credit for the same goes to the people of India who made these movements their own and drove the transformation. @RayDalio https://t.co/EUOIySjYhl",human
"California leads the nation, by far, in both the number of homeless people, and the percentage increase in the homeless population - two terrible stats. Crazy Nancy should focus on that in her very down district, and helping her incompetent governor with the big homeless problem!",human
"Too bad it’s not that simple <U+0001F642> SF regulations make it so hard to build in the city. For example, it takes 6 months to get a building permit. Zoning can take years as the government assesses everything from environmental impact to effects on traffic, light, and noise.",human
"Not an OS but there are at least two x86 instruction set emulators in JavaScript that allow you to run other OSes on this emulated platform, in your browser. Check out https://t.co/yEPxupby7P as one example, JSLinux as another: https://t.co/GxGcrO5506",human
"It was a joyful occasion today when I met Pragun Pudukoli today, who at such a young age is already acknowledged as a prolific writer with a passion for science, environment and nature. We look forward to reading more from his pen in the years to come. https://t.co/TWZOMpKpds",human
"In the 3 decades before my election, NATO spending declined by two-thirds, and only 3 other NATO members were meeting their financial obligations. Since I took office, the number of NATO allies fulfilling their obligations more than DOUBLED, and NATO spending increased by $130B!",human
"Today, via video conferencing, interacted with various stakeholders associated with the pharmaceuticals industry and reviewed preparations to combat COVID-19. This sector has a key role in creating a healthier India. #IndiaFightsCorona https://t.co/S6qodXc57u",human
"“They tried to Impeach the President eight times before this last Impeachment trial that we went through. In Arizona, people are tired of their obstruction, their investigations, and their Impeachments. They want them to get to work.” @SenMcSallyAZ  @foxandfriends  Thanks Martha",human
"Has @BubbaWallace apologized to all of those great NASCAR drivers &amp; officials who came to his aid, stood by his side, &amp; were willing to sacrifice everything for him, only to find out that the whole thing was just another HOAX? That &amp; Flag decision has caused lowest ratings EVER!",human
"Greetings to my valued colleague @nitin_gadkari Ji on his birthday. Gadkari Ji has made a mark as a good organiser, who has strengthened BJP at the grassroots and an effective minister, who has contributed to creating new infrastructure. Praying for his long and healthy life.",human
"The new USA Today Poll, just out, has me leading all of the Democrat contenders. That’s hard to believe since the Fake News &amp; 3 year Scams and Witch Hunts, as phony as they are, just never seem to end. The American people are smart. They see the great economy, &amp; everything else!",human
"Never has the Republican Party been so united as it is now. 95% A.R. This is a great fraud being played out against the American people by the Fake News Media &amp; their partner, the Do Nothing Democrats. The rules are rigged by Pelosi &amp; Schiff, but we are winning, and we will win!",human
"....Ukrainian energy company, and more millions taken from China, and now reports of other companies and countries also giving him big money, are certainly looking very corrupt (to put it mildly!) to me. Both Bidens should be forced to testify in this No Due Process Scam!",human
"The decisions on Articles 370 and 35(A) will:

Further integration.

Boost inclusion.

Begin industrial growth for Jammu, Kashmir and Ladakh. 

Increase investment. 

Create the proper environment for innovation. 

It ends the era of exclusion. https://t.co/G84LLjXkrP",human
@VladZamfir @NickSzabo4 I honestly feel the conversation is not very useful without digging into specifics. Because the specific outcomes we want to achieve and their level of frequency and invasiveness dictates the institutions required to reliably generate them.,human
"Spreading positivity, furthering joy. 

Appreciable effort by @NavbharatTimes to devote a special weekly page towards sharing positive news, celebrating the lives of extraordinary Indians working at the grassroots.

https://t.co/Kd1LsFXLPP https://t.co/hXuMIbOYwk",human
"“I mean, come on. The Democrats are doing focus groups to try and figure out what words to use to move the needle. The Democrats know this is political and they’re just trying to drag Trump’s name into the mud!” Lisa Booth @foxandfriends Thank you Lisa!",human
"Welcome back to Earth, @Astro_Christina, and congratulations on breaking the female record for the longest stay in space! You’re inspiring young women and making the USA proud! Enjoyed speaking with you and @Astro_Jessica on the first all-female spacewalk IN HISTORY last year.",human
"@geffchang I've created a whole bunch of snippets as gists over the past few years. The only drawback I've found is you can't organize or categorize them, so make sure you create a descriptive title for each snippet with useful keywords so you can search and find them later",human
"Just landed in the United Kingdom, heading to London for NATO meetings tomorrow. Prior to landing I read the Republicans Report on the Impeachment Hoax. Great job! Radical Left has NO CASE. Read the Transcripts. Shouldn’t even be allowed. Can we go to Supreme Court to stop?",human
Was very happy to meet Soumyadip Jana. His act of valour will inspire everyone. Young Soumyadip fought and resisted armed terrorists and protected his mother &amp; sister. He suffered grave injuries but his spirit remains strong. https://t.co/IfQkZpmmro,human
"The most unexpected thing (at least to me) about writing tech articles is that what you consider your absolute best/most interesting work is rarely read, but random articles about seemingly insignificant or irrelevant topics are the ones that get the most reads <U+0001F928> https://t.co/68TQWOQvPq",human
"This morning, I spoke with the Sultan of Oman. We focused on the COVID-19 crisis, its impacts, and our responses. We also agreed on the need for more international cooperation as well as peace and security in the Gulf region. More on our call here: https://t.co/kneSndVX0j",human
"I will be representing our Country in London at NATO, while the Democrats are holding the most ridiculous Impeachment hearings in history. Read the Transcripts, NOTHING was done or said wrong! The Radical Left is undercutting our Country. Hearings scheduled on same dates as NATO!",human
"This afternoon, @cafreeland and I spoke with premiers about our work to support people across Canada and keep them safe from COVID-19. We also looked at the road ahead and talked about the steps we’ll need to take before we can reopen parts of the economy.",human
"Didn't catch this first time I watched, 4mins into From Bedrooms to Billions: ""home computing was a hobby within itself ... a lot of people that came into it came from amateur radio""  - Bruce Everiss of Micro Digital, Imagine and Codemasters @FromBedrooms #hamradio",human
"I will be signing our 738 Billion Dollar Defense Spending Bill today. It will include 12 weeks  Paid Parental Leave, gives our troops a raise, importantly creates the SPACE FORCE, SOUTHERN BORDER WALL FUNDING, repeals “Cadillac Tax” on Health Plans, raises smoking age to 21! BIG!",human
"It was my honor to welcome our nation’s Mayors to the @WhiteHouse as we continue to strengthen the bonds of cooperation between federal and local governments so that we can deliver great jobs, excellent schools, affordable healthcare, and safe communities for all of our people! https://t.co/QwYzS32lyQ",human
"If you’re a business owner struggling with cash flow and facing difficult decisions, we’re here to help you pull through. We’re expanding the Canada Emergency Business Account by both increasing and decreasing the eligibility threshold. Here’s what that means for you: <U+2935><U+FE0F>",human
"Your ideas have always been the strength of #MannKiBaat, making it a vibrant platform that showcases the strengths of 130 crore Indians!

Record your message:

Dial 1800-11-7800

Write on:

NaMo App.

MyGov Open Forum. https://t.co/UDEIWKoTpX",human
"Captain Wiseman, thanks for sharing this message. I couldn’t agree more with what you said about your crew - and all crews going above and beyond right now to get travellers home and families reunited. They represent the very best of our country, and we’re so thankful for them. https://t.co/tk5w6Hy2LK",human
@kaydeejay1995 Lol oh man my apologies. I didn’t have my own screen to share and I was away from my console so I just did a google image search because I couldn’t wait to talk about how happy I was to finish my own road this past weekend. No harm or deception intended!,human
"There is great enthusiasm towards the #HowdyModi programme in Houston on 22nd. For my speech that day, I want to hear from you. 

Share your ideas for my address. I would refer to some of them during my remarks. 

Express your thoughts on the special Open Forum on the NaMo App. https://t.co/IgH97MQBDc",human
"And this isn’t  just affecting the places we visit, it’s starting to seep into the products we buy. There’s a swarm of hot direct-to-consumer consumer companies like @brandless  and Public Goods who’s entire brands are built around aesthetic sterilization.",human
".....President Trump said the Ukraine President should just do the right thing (No Quid Pro Quo). You shouldn’t charge, but you cannot convict, a sitting president on the basis of conflicting and ambiguous evidence, and destabilize the American Government.” Thank you Ken!",human
"When Lisa Page, the lover of Peter Strzok, talks about being “crushed”, and how innocent she is, ask her to read Peter’s “Insurance Policy” text, to her, just in case Hillary loses. Also, why were the lovers text messages scrubbed after he left Mueller. Where are they Lisa?",human
"@TheOnion “Between the trees and the forest floor, it’s like a giant mural,” continued the veritable High Priest of the Harvest Season, adding that he would soon have to rake his driveway, an activity for which he will most certainly don a cashmere scarf.",human
"The new First-Time Home Buyer Incentive: 
<U+0001F3E0>Makes it easier and more affordable to buy your first home
<U+2B07><U+FE0F>Lowers your monthly mortgage by up to $286 per month
<U+0001F91D>Helps with your down payment 
<U+0001F4C6>Starts September 2nd
Learn more: https://t.co/ZvwyBUAtT9",human
"The Central Government is closely monitoring the situation due to Cyclone Vayu in Gujarat and other parts of India. 

I have been constantly in touch with State Governments. 

NDRF and other agencies are working round the clock to provide all possible assistance.",human
"The Do Nothing, Radical Left Democrats have just announced that they are going to seek to Impeach me over NOTHING. They already gave up on the ridiculous Mueller “stuff,” so now they hang their hats on two totally appropriate (perfect) phone calls with the Ukrainian President....",human
"Have been seeing visuals from West Bengal on the devastation caused by Cyclone Amphan. In this challenging hour, the entire nation stands in solidarity with West Bengal. Praying for the well-being of the people of the state. Efforts are on to ensure normalcy.",human
"Climate change is threatening the lives, cultures, and identities of Inuit, and the species their communities depend on. Today, we’re taking action with the new Tuvaijuittuq Marine Protected Area and the completion of the Tallurutiup Imanga National Marine Conservation Area. https://t.co/I3sm5veKGB",human
"My own blog at https://t.co/yx0GAZ5dAt started as a custom web app I built myself to keep online notes, and then evolved over the years through a couple of different CMS apps, and then to Wordpress. Find what works for you and use it to keep your own notes!",human
"@brunoborges Back around 1998-1999 I worked on a project to build a client independent UI in XML that was rendered to HTML using Javascript in the browser. At the time we decided it was too slow and not practical and moved the logic serverside instead, but changed to Java in Oracle App Server",human
"Iran killed an American contractor, wounding many. We strongly responded, and always will. Now Iran is orchestrating an attack on the U.S. Embassy in Iraq. They will be held fully responsible. In addition, we expect Iraq to use its forces to protect the Embassy, and so notified!",human
"“I often get asked the question, well, isn’t the President going to be stronger and harder to beat if he survives this? The answer is yes, but, the Congress has no choice, it has a Constitutional responsibility.” Joe Biden, pres. candidate. Even Joe agrees with us! @foxandfriends",human
"@RealRadixZee @ctrlshifti You look at how something was implemented now and can't believe how or why it was done this way, but what we always forget is that back when it was originally designed/built, those decisions absolutely made sense at that time, even though it seems insane now",human
"Greek Canadians make significant contributions to our country every day, and have for generations. Thanks to the members of Hellenic organizations for sitting down with me today to talk about how we’ll keep working together to strengthen communities in Quebec. https://t.co/Y64YtVgumu",human
"They also used the Canada Emergency Business Account so they could buy personal protective equipment, plexiglass screens, and hand-washing stations to keep people safe as they reopen. Learn how these supports could help your own business and apply today: https://t.co/94P0RxqsQ8",human
"On NCC Day, I had an excellent interaction with young NCC Cadets.

They shared their learnings and experiences from NCC. 

From my favourite TV show, books to my favourite travel location in India, they also asked me a few questions. #MannKiBaat 

https://t.co/N3kETnVqLk",human
"The Fake News Media is looking hard for the Big Democrat Story, but there is nothing too fabulous. Wouldn’t a big story be that I got more New Hampshire Primary Votes than any incumbent president, in either party, in the history of that Great State? Not an insignificant fact!",human
"“You don’t come to court and ask for witnesses after you’ve already presented your case, unless you know your case is not working. I think their real motivation is for them to keep this President busy. We’re doing a great job on the economy, we’re building our military, look.....",human
"@ConsoleKev @swlovinist Pretty sure from experience there's no difference from buying a new game on disk vs a digital download at this point. Either way, even with the disk, there's a massive download when you put in the disk followed by required updates.",human
"@udiWertheimer @jemenger @justinsuntron @notgrubles @AlexSaundersAU @Excellion Depends what you mean by ""making""! There was $75k allocated into a pool controlled by neutral rules, and ~1k people who helped allocate it by participating in those rules (you could have been one of them!). The results of the round were definitely not known ex ante.",human
"@MatGroennebaek @oliverbeige @asglidden @glenweyl @Nicolas_Colin @zhitzig @MattBruenig Though Molyneux's ""the reason rape is bad is that if it's not bad it would have to be obligatory and it's a contradiction for 2 people to be raping each other at the same time"" is the worst. The argument applies equally to the horrible evil of standing further north than someone.",human
"We fully support the people of Venezuela and are working with our partners to support peace &amp; democracy. Members of the Lima Group met at the #G20 in Osaka, to talk about the next steps towards an urgent and peaceful resolution to the crisis. https://t.co/GwQPrCDQe2",human
"AWS lowered prices of their Lightsail service that competes in the VPS space, and although the cheaper prices are now slightly more attractive, they're still not as cheap as other options in the cut-price VPS market https://t.co/cVN6Ms9erM https://t.co/i4okNWBHSY",human
"AI is changing how we work &amp; live, and Canada’s scientists &amp; researchers are leading the way. @NavdeepSBains and I met with @ChiefSciCan Dr. Mona Nemer today to talk about how we can make sure they keep innovating &amp; creating new technologies. https://t.co/5PI8fycLAX",human
"I've had a go a developing games before and I can honestly say without a doubt it's the hardest programming I've ever tried. If you're stuck in a rut and want a challenge, try developing a game. You'll be surprised what you'll learn <U+0001F44D><U+0001F579><U+FE0F> https://t.co/Q7fZAzXuTH",human
@gmuecke @nevi_me @IlsankerGeeky @simas_ch I don't understand why this term became popular in recent years. In the past there were always developers who were skilled in frontend and backend but never referred to themselves as 'fullstack' they were just developers. I don't know why we make this distinction nowdays,human
"While interacting with our soldiers, I thanked them on behalf of the people of India for their monumental service. Their vigilance and valour keeps our nation safe! 

I also spoke about the major steps our Government is taking for the welfare of soldiers. https://t.co/wG4yPn43Tg",human
"Planted a tree by placing a Matka underground and filling it with water.

This is an easy and effective way to create a greener tomorrow. 

I had also written about this method on my blog back in 2011. Sharing it once again. 

https://t.co/UTwjWqBSsf https://t.co/h93fiW6TvP",human
"@allenholub @Paul_V_Elia @amazon and I think that's the problem. We've all got used to having our personal data sold, shared and even lost, and we've become desensitized. There's not going to be any huge shift away from something bad that people now accept as ok. That's another problem it itself.",human
"“The American people are going to see this for what it is. It is a political effort by the Democrats, and the President certainly doesn’t have to aid in the Impeachment effort.” Robert Ray @MariaBartiromo  Democrats are getting “killed” in their home districts. 2020!",human
"@teslaownersSV @tesla_unplugged @TeslaOwnersofMA @Tesla @disneyplus @BenSullins Car should autonavigate to destinations based on your calendar. If nothing in calendar, should do work in morning &amp; home in evening. Future versions will guess based on prior patterns (if preference enabled).",human
"@hollykrieger That's an awesome British twist on a nicoise salad (see links in previous replies to what a Scotch Egg is). That's def. one thing I miss from not living in the UK because a) they are de-lish, and b) it's rare to find them outside the UK. Enjoy!",human
When Walt rushes home to gather $500k he hid in his crawl space to help his family skip town after Gus threatens to murder them all only to discover that Skylar gave all the cash away to silence her sleazy boss that she was cheating on him with https://t.co/GC6lYX4f6f,human
"In 2017, Canada &amp; its partners launched the Lima Group to restore democracy and respect for human rights in Venezuela. Yesterday in Ottawa, @FP_Champagne met with members to send the message that it is time to stop this human tragedy. https://t.co/oeC3iXbqfk",human
"On the pitch, these people turned the ball and made India win. Now, theyÃ¯Â¿Â½re all appealing to us to turn the tide against Coronavirus.

LetÃ¯Â¿Â½s all come together! #IndiaFightsCorona

https://t.co/vPDxq0yGD1

https://t.co/LFoX3TUq1D

https://t.co/BTiNuKhmjQ

https://t.co/Fhu4jh9iOy",human
"So many great women and men took part in the freedom struggle. Do we ever ask what caste did they belong to?

Do we ever ask what caste did the marchers of Dandi belong to?

Let us rise above divisions and work as a team for India’s progress. https://t.co/ljfF56iEoP",human
"I had a short but immensely fruitful Sri Lanka visit. 

Sri Lanka has a special place in our hearts. 

I assure my sisters and brothers of Sri Lanka that India will always be there with you and support your nation’s progress. 

Thank you for the memorable welcome and hospitality. https://t.co/peIkXhyahH",human
"We’re working with industry to produce the supplies our health care workers need - like masks, face shields, ventilators, and test kits. We reached an agreement with @AmazonCA to distribute these items to the provinces &amp; territories via @CanadaPostCorp &amp; other delivery partners.",human
One of the biggest benefits of Ayushman Bharat is portability. Beneficiaries can get top quality and affordable medical care not only where they registered but also in other parts of India. This helps those who work away from home or registered at a place where they donÃ¯Â¿Â½t belong.,human
"The news from Pakistan this morning is devastating. To the families and friends of those who lost their lives in the crash of PK 8303, and to everyone affected by this terrible tragedy, our hearts go out to you. Canadians are keeping you in our thoughts today.",human
@JT_Grimes @Nick_Craver There's been many industry studies showing the cost of fixing issues is always cheaper earlier rather than later. The opportunity cost of not fixing issues earlier is that you have an unmaintainable app that you can't fix or modify. At that point you don't have a long term either,human
"Could somebody at @foxnews please explain to Trump hater A.B. Stoddard (zero talent!) and @TeamCavuto, that I won every one of my debates, from beginning to end. Check the polls taken immediately after the debates. The debates got me elected. Must be Fox Board Member Paul Ryan!",human
"The highly respected Henry Ford Health System just reported, based on a large sampling, that HYDROXYCHLOROQUINE cut the death rate in certain sick patients very significantly. The Dems disparaged it for political reasons (me!). Disgraceful. Act now @US_FDA @TuckerCarlson @FoxNews",human
"...&amp; overwhelming,” but this Scam Impeachment was neither. Also, very unfair with no Due Process, proper representation, or witnesses. Now Pelosi is demanding everything the Republicans weren’t allowed to have in the House. Dems want to run majority Republican Senate. Hypocrites!",human
"What’s better than a mountain of toys? Knowing they’ll be going to thousands of kids in need on Christmas morning. Thanks to everyone who volunteered or donated to make @ToyMountain possible, and help make these kids’ dreams come true. https://t.co/iUJRt8EEwV",human
"I was not pleased with the way that Navy Seal Eddie Gallagher’s trial was handled by the Navy. He was treated very badly but, despite this, was completely exonerated on all major charges. I then restored Eddie’s rank. Likewise, large cost overruns from past administration’s.....",human
"On the National Day of Remembrance for Victims of Terrorism, we pause to remember the Canadians whose lives have been taken by these senseless acts of violence, and we offer our sympathies to the families and friends whose lives have been forever changed. https://t.co/LpMSSmfDeo",human
"@herbieCB Thanks for the question, Lucas and Liam - loved the video! It doesn’t seem like you need much advice from me. But know public speaking takes a lot of practice. And it’s okay to make mistakes. Just be confident, go slowly, and speak clearly. You’ve got this! #CanadaHomeworkHelp",human
"The Secretary-General of the @UN, @antonioguterres, and I spoke on the phone today about the need for a complete &amp; thorough investigation into last week’s tragedy in Iran, and how the @icao can support that. Get the details of our call here: https://t.co/fl0LGihsDf",human
"When the Military rips down an old &amp; badly broken Border Wall in an important location, &amp; replaces it with a brand new 30 ft. high Steel &amp; Concrete Wall, Nancy Pelosi says we are not building a Wall. Wrong, and it is going up fast. Brandon Judd just gave us great marks! @FoxNews",human
"Say No to Panic, Say Yes to Precautions.

No Minister of the Central Government will travel abroad in the upcoming days. I urge our countrymen to also avoid non-essential travel. 

We can break the chain of spread and ensure safety of all by avoiding large gatherings.",human
<U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> https://t.co/yqGEeAV998,human
I welcome the announcements by the Chief of Defence Staff today. India has waged a strong fight against COVID-19 due to courageous frontline warriors who have cared and cured many. They are spectacular. India applauds them and their families. https://t.co/IeKb7qZYwI,human
"I completely agree. And while we don’t need a pandemic or a special day to recognize the incredible work that caregivers are doing to help our most vulnerable, I do want to thank all of you who are working day and night to take such good care of our loved ones. We’re so grateful. https://t.co/0JiAP75EFI",human
"Sharing pictures from Kurnool. 

On 11th April, Andhra Pradesh will vote with two motives:

Sunrise of the state.

Son set of the ruling TDP.

TDP does not merely encourage corruption in schemes, they go a step ahead &amp; make schemes only where loot is the sole motive. @BJP4Andhra https://t.co/woavJh2FCX",human
"We all have the same goal right now: ending this pandemic. And we know that ramping up the development and distribution of vaccines, testing, and treatment is the way to do it. That’s why we’re stepping up and supporting #GlobalGoalUnite in the fight against COVID-19. https://t.co/vss7R8a3IT",human
"“We know what took place. We have already seen criminality. What is happening? Biggest political scandal of our time.” @MariaBartiromo You are 100% correct, Maria, it is a disgrace that nothing happens. Obama and Biden spied on my campaign, AND GOT CAUGHT...BUT NOTHING!",human
"Exception in thread ""main"" java.lang.StackOverflowError
at com.twitter.Tweet.retweet(https://t.co/v61ivP4X4b)
at com.twitter.Tweet.retweet(https://t.co/v61ivP4X4b)
at com.twitter.Tweet.retweet(https://t.co/v61ivP4X4b)
at com.twitter.Tweet.retweet(Tweet.jav https://t.co/zIAeZM90Fu",human
"Old and unimaginative ways of running a Government no longer connect with our citizens. Those days have gone! Had we worked like that only, long-standing issues would never have been resolved.

Our path is different and the results are for all to see. https://t.co/dpvWpGo0C9",human
"....in a very long time. The FBI has had some dark day in its past, but nothing like this. This was VERY SERIOUS MISCONDUCT ON THE PART OF THE FBI.” @brithume @BretBaier  Are you listening Comey, McCabe, lovers Lisa &amp; Peter, the beautiful Ohr family, Brennan, Clapper &amp; many more?",human
"News that will make you thrilled!

Happy to share that the water levels at the Sardar Sarovar Dam have reached a historic 134.00 m.

Sharing some pictures of the breathtaking view, with the hope that you will go visit this iconic place and see the ‘Statue of Unity.' https://t.co/nfH67KcrHR",human
"Why should Crazy Nancy Pelosi, just because she has a slight majority in the House, be allowed to Impeach the President of the United States? Got ZERO Republican votes, there was no crime, the call with Ukraine was perfect, with “no pressure.” She said it must be “bipartisan...",human
"It is always special to meet my good friend, President Moon Jae-in. He is extremely passionate about furthering friendship between India and the Republic of Korea. Today, we talked about various steps to enhance trade, economic and people-to-people relations. @moonriver365 https://t.co/N6bfD4zLxL",human
"We remember beloved Atal Ji every single moment.  

He would have been very happy to see BJP get such a great opportunity to serve people.

Motivated by Atal Ji’s life and work, we will strive to enhance good governance and transform lives. 

Here are glimpses from ‘Sadaiv Atal.’ https://t.co/7LXNkU0DP4",human
"The comments of the philosopher and guide of the Congress President have angered Punjab. 

The memories of 1984 massacres haunt several people and our Government has worked towards ensuring justice by punishing the perpetrators. https://t.co/GZIZN84NpE",human
"It’s okay to have tough days. If you’re feeling anxious or stressed, know that you’re not alone. We’re here for you - and we’re making sure there are tools and resources available to help you. Today, @GovCanHealth launched a new mental health portal: https://t.co/l2SFWgUSAp https://t.co/f5UGwUCJ2p",human
"@fffarizi when discussing personal finance with muslims, its either cripplingly vague (to avoid 'nazr')

or

Avoided all together under the guise that credit cards, stocks, and the entire financial system, is haram

(im not a sheikh or mufti by any means, just observation)",human
Thank you Prime Minister Mahathir for your greetings! I fondly recall our meeting last year and look forward to working closely with you for further strengthening our multifaceted relations with Malaysia in all spheres. @chedetofficial https://t.co/AuHqXoX1rq,human
Thanks for your wishes and greetings- I would urge you to take similar steps in your community to make India hunger free. I believe in Mahatama Gandhis quote - The World has enough for everyone's need but not for everyones greed. - @snehamohandoss #SheInspiresUs https://t.co/LpiaQmT2eX,human
"My friend, @BillHagertyTN, will be a phenomenal Senator for Tennessee! He did an incredible job for our country as Ambassador to Japan. Strong on the Economy, Trade and the Wall, Bill stands Tall for Law &amp; Order. He has my Complete and Total Endorsement! https://t.co/VGeHlAfQV8",human
"The world has seen various crisis and challenges but the situation arising due to COVID-19 is unprecedented. 

We in India are leaving no stone unturned to overcome this menace.

Need of the hour is to be alert and vigilant. #IndiaFightsCorona https://t.co/vdK3oYj6sx",human
"Nothing beats spending time in Canada’s great outdoors &amp; every kid should get to experience it. We’re going to:

<U+0001F6F6>Expand Learn to Camp so they’ll all learn outdoor skills by grade 8
<U+0001F6F6>Launch Experience Canada to help 75,000 lower-income families explore our parks https://t.co/7p4PGcltfs",human
"Wow! “In a stunning rebuke of the FBI, the FISA court severly chastised the FBI for the FISA abuses brought to light in the recent Inspector General’s Report. There were at least 17 significant errors.” @FoxNews Statement by the Court was long and tough. Means my case was a SCAM!",human
"Ken Starr, Former Independent Counsel: “Does this reach the level of treason, bribery or other high crimes and misdemeanors? My assessment of the evidence so far, NO WHERE CLOSE. The evidence is conflicting &amp; ambiguous. Ambassador Sondland’s testimony stated that....",human
"Padma Shri Dinyar Contractor was special because he spread lots of happiness. His versatile acting brought smiles on several faces. Be it theatre, television or films, he excelled across all mediums. Saddened by his demise. My thoughts are with his family and admirers. https://t.co/yV8JswP1g1",human
"If there's one single piece of advice for any new developers, it MUST be this. Unless you're only planning on staying hands on doing what you're doing right now for the next 1 to 2 years, it's a given that you must continually work on keeping your skills up to date outside work https://t.co/bPAkqrNbrZ",human
"As the first CDS takes charge, I pay homage to all those who have served and laid down their lives for our nation. I recall the valiant personnel who fought in Kargil, after which many discussions on reforming our military began, leading to today’s historic development.",human
"Poll numbers have gone through the roof in favor of No Impeachment, especially with Swing States and Independents in Swing States. People have figured out that the Democrats have no case, it is a total Hoax. Even Pelosi admitted yesterday that she began this scam 2 1/2 years ago!",human
"Fascinating take. The odd thing about the software development industry is that we have years of experience of what we've seen work and not work, and yet we still blindly repeat processes we know haven't worked well in the past, maybe hoping for a different result? https://t.co/n7LwYxSAJA",human
"I NEVER told John Bolton that the aid to Ukraine was tied to investigations into Democrats, including the Bidens. In fact, he never complained about this at the time of his very public termination. If John Bolton said this, it was only to sell a book. With that being said, the...",human
"Cryin’ Chuck Schumer just said, “The American people want a fair trial in the Senate.” True, but why didn’t Nervous Nancy and Corrupt politician Adam “Shifty” Schiff give us a fair trial in the House. It was the most lopsided &amp; unfair basement hearing in the history of Congress!",human
"@kuzrob @ploeh Our industry is bizarre. I look back at the short experience I had in the mid 90s doing PowerBuilder development and honestly it was the highpoint of developer productivity that I've never seen or experienced again since with other languages and tools (e.g. Java, JavaScript)",human
"We’ll keep working together with all parties to help you through these tough times. This morning, members in the House of Commons passed legislation so you and your family can get the support you need - it’s now headed to the Senate. https://t.co/blKInO5LVc",human
"Today’s campaigns in Rajasthan gave me a glimpse of the anger among people against the Congress misrule. 

Loans of farmers have not been waived off as promised. Allowances promised to the youth have not been given. People are angry.

Here are glimpses from Barmer. https://t.co/UDx1JaXUrz",human
"House Republicans investigating origins of the Ukraine Whistleblower complaint. ICIG Michael Atkinson facing serious questions. “The Democrats know the ICIG is a major problem-didn’t release his testimony. Looks so much like everything else we’ve seen, from the Russia Hoax, to...",human
"Congress won its lowest seats in 2014 and in 2019, it is contesting the fewest seats in it’s history. The party lacks vision and direction. 

It’s other Mahamilawat friends are seriously fighting 5, 10, 15, 20, 30 or max 40 seats. 

How can they provide a stable Government? https://t.co/50i4locPfV",human
"Not only are the oil &amp; gas sector PSUs energising IndiaÃ¯Â¿Â½s growth trajectory, but they are also contributing to ensure the nationÃ¯Â¿Â½s good health in the time of COVID-19 crisis. 
Special thanks to @ONGC_ employees who have contributed 2 daysÃ¯Â¿Â½ salary to PM-CARES. @dpradhanbjp",human
Incredibly insightful observations on the growth of the software development industry and why's it's important we ensure those coming into the industry are getting appropriate training. Book ordered and I know what I'm reading next week <U+0001F44D> https://t.co/CAPQzCbd4b,human
"Our Government’s first decision dedicated to those who protect India! 

Major changes approved in PM’s Scholarship Scheme under the National Defence Fund including enhanced scholarships for wards of police personnel martyred in terror or Maoist attacks. 

https://t.co/Vm90BD77hm https://t.co/iXhFNlBCIc",human
"Two years ago, all Canadians grieved with the people of Toronto after a senseless attack took ten lives and forever changed many more. Today, we remember those we lost and, as the community did that day, we come together to stand with their loved ones. We are #TorontoStrong.",human
"Ted Grant was one of our country’s greatest photographers. From Vietnam to Chernobyl, the Olympics to the ’68 Liberal convention, he captured history like few others could. He was one of the kindest men I’ve ever met, and my thoughts are with his family as they mourn his passing. https://t.co/8DSPWPcmiK",human
"“Why re-elect Democrats when you know that this is what they are doing with their majority. Their case is not strong because first it was Russian Collusion, then it was obstruction, then it was Ukraine, now their pivoting back to Russia. Why would they be doing that?” Lisa Booth",human
@omniprof This is the first time I've ever heard someone describe a preincrement op as 'wrong'. Just describe the feature and what it does. There is nothing right or wrong about deciding to use a pre or post increment. It's a language feature. Use what makes sense for the implementation,human
